titulo,titulo_procesado,prediccion_sentimiento
AI is revolutionizing the education system,ai revolutionizing education system,Neutral
ChatGPT is overrated and lacks creativity,chatgpt overrated lack creativity,Positivo
Gemini's potential is impressive,gemini potential impressive,Neutral
AI can be dangerous if misused,ai dangerous misused,Negativo
ChatGPT can be a useful tool in classrooms,chatgpt useful tool classroom,Positivo
Gemini has room for improvement,gemini room improvement,Positivo
AI will completely change the job market,ai completely change job market,Neutral
ChatGPT should be more transparent about its limitations,chatgpt transparent limitation,Negativo
Gemini is just another copy of ChatGPT,gemini another copy chatgpt,Neutral
AI technologies are growing at an incredible rate,ai technology growing incredible rate,Positivo
ChatGPT makes too many errors for its hype,chatgpt make many error hype,Negativo
Gemini is a game changer for tech,gemini game changer tech,Neutral
AI in healthcare could lead to privacy issues,ai healthcare could lead privacy issue,Neutral
ChatGPT cannot fully replace human teachers,chatgpt fully replace human teacher,Neutral
Gemini is the next step in AI development,gemini next step ai development,Neutral
AI is becoming more accessible to everyone,ai becoming accessible everyone,Neutral
ChatGPT is not as useful as people say,chatgpt useful people say,Positivo
Gemini is not living up to the hype,gemini living hype,Neutral
AI is making progress in art and design,ai making progress art design,Positivo
ChatGPT is great but has many limitations,chatgpt great many limitation,Positivo
Gemini will likely outperform ChatGPT,gemini likely outperform chatgpt,Neutral
AI in education has a lot of potential,ai education lot potential,Neutral
ChatGPTâ€™s responses are often too mechanical,chatgpts response often mechanical,Neutral
Gemini needs more refinement before release,gemini need refinement release,Neutral
AI tools are improving our daily lives,ai tool improving daily life,Positivo
ChatGPT cannot understand emotions like humans,chatgpt understand emotion like human,Positivo
Gemini's response time is too slow,gemini response time slow,Neutral
AI might cause a loss of jobs in the future,ai might cause loss job future,Negativo
ChatGPT helps with research but lacks depth,chatgpt help research lack depth,Positivo
Gemini will revolutionize customer service,gemini revolutionize customer service,Neutral
AI in social media is a double-edged sword,ai social medium doubleedged sword,Neutral
